time_id,order_date,year,month,month_name,quarter,day
1,2003-02-24,2003,2,February,1,24
2,2003-05-07,2003,5,May,2,7
3,2003-07-01,2003,7,July,3,1
4,2003-08-25,2003,8,August,3,25
5,2003-10-10,2003,10,October,4,10
6,2003-10-28,2003,10,October,4,28
7,2003-11-11,2003,11,November,4,11
8,2003-11-18,2003,11,November,4,18
9,2003-12-01,2003,12,December,4,1
10,2004-01-15,2004,1,January,1,15
11,2004-02-20,2004,2,February,1,20
12,2004-04-05,2004,4,April,2,5
13,2004-05-18,2004,5,May,2,18
14,2004-06-28,2004,6,June,2,28
15,2004-07-23,2004,7,July,3,23
16,2004-08-27,2004,8,August,3,27
17,2004-09-30,2004,9,September,3,30
18,2004-10-15,2004,10,October,4,15
19,2004-11-02,2004,11,November,4,2
20,2004-11-15,2004,11,November,4,15
21,2004-11-24,2004,11,November,4,24
22,2004-12-17,2004,12,December,4,17
23,2005-02-03,2005,2,February,1,3
24,2005-03-03,2005,3,March,1,3
25,2005-04-08,2005,4,April,2,8
26,2005-05-13,2005,5,May,2,13
27,2003-01-29,2003,1,January,1,29
28,2003-03-24,2003,3,March,1,24
29,2003-05-28,2003,5,May,2,28
30,2003-07-24,2003,7,July,3,24
31,2003-09-19,2003,9,September,3,19
32,2003-10-20,2003,10,October,4,20
33,2003-11-06,2003,11,November,4,6
34,2003-11-13,2003,11,November,4,13
35,2003-11-25,2003,11,November,4,25
36,2003-12-05,2003,12,December,4,5
37,2004-01-29,2004,1,January,1,29
38,2004-03-10,2004,3,March,1,10
39,2004-05-04,2004,5,May,2,4
40,2004-06-15,2004,6,June,2,15
41,2004-07-19,2004,7,July,3,19
42,2004-08-17,2004,8,August,3,17
43,2004-09-08,2004,9,September,3,8
44,2004-10-11,2004,10,October,4,11
45,2004-10-21,2004,10,October,4,21
46,2004-11-04,2004,11,November,4,4
47,2004-11-18,2004,11,November,4,18
48,2004-11-29,2004,11,November,4,29
49,2004-12-10,2004,12,December,4,10
50,2005-01-20,2005,1,January,1,20
51,2005-02-17,2005,2,February,1,17
52,2005-03-09,2005,3,March,1,9
53,2005-05-01,2005,5,May,2,1
54,2005-05-31,2005,5,May,2,31
55,2003-04-29,2003,4,April,2,29
56,2004-01-12,2004,1,January,1,12
57,2004-04-03,2004,4,April,2,3
58,2004-09-27,2004,9,September,3,27
59,2004-11-23,2004,11,November,4,23
60,2005-02-02,2005,2,February,1,2
61,2005-04-07,2005,4,April,2,7
62,2005-01-05,2005,1,January,1,5
63,2003-02-11,2003,2,February,1,11
64,2003-04-28,2003,4,April,2,28
65,2003-06-12,2003,6,June,2,12
66,2003-08-10,2003,8,August,3,10
67,2003-10-06,2003,10,October,4,6
68,2003-10-23,2003,10,October,4,23
69,2003-11-08,2003,11,November,4,8
70,2003-11-14,2003,11,November,4,14
71,2003-11-26,2003,11,November,4,26
72,2004-01-09,2004,1,January,1,9
73,2004-02-19,2004,2,February,1,19
74,2004-05-07,2004,5,May,2,7
75,2004-06-17,2004,6,June,2,17
76,2004-07-21,2004,7,July,3,21
77,2004-08-20,2004,8,August,3,20
78,2004-09-10,2004,9,September,3,10
79,2004-10-14,2004,10,October,4,14
80,2004-11-01,2004,11,November,4,1
81,2004-11-05,2004,11,November,4,5
82,2004-11-21,2004,11,November,4,21
83,2004-12-02,2004,12,December,4,2
84,2004-12-15,2004,12,December,4,15
85,2005-01-31,2005,1,January,1,31
86,2005-02-23,2005,2,February,1,23
87,2005-03-17,2005,3,March,1,17
88,2005-04-01,2005,4,April,2,1
89,2005-05-06,2005,5,May,2,6
90,2003-04-01,2003,4,April,2,1
91,2003-10-21,2003,10,October,4,21
92,2003-12-09,2003,12,December,4,9
93,2004-02-04,2004,2,February,1,4
94,2004-03-11,2004,3,March,1,11
95,2004-08-19,2004,8,August,3,19
96,2004-10-13,2004,10,October,4,13
97,2004-10-22,2004,10,October,4,22
98,2004-11-19,2004,11,November,4,19
99,2003-03-03,2003,3,March,1,3
100,2003-05-08,2003,5,May,2,8
101,2003-07-02,2003,7,July,3,2
102,2003-09-05,2003,9,September,3,5
103,2003-11-04,2003,11,November,4,4
104,2003-11-12,2003,11,November,4,12
105,2003-11-20,2003,11,November,4,20
106,2003-12-02,2003,12,December,4,2
107,2004-02-22,2004,2,February,1,22
108,2004-04-09,2004,4,April,2,9
109,2004-06-01,2004,6,June,2,1
110,2004-07-06,2004,7,July,3,6
111,2004-08-02,2004,8,August,3,2
112,2004-08-30,2004,8,August,3,30
113,2003-10-04,2003,10,October,4,4
114,2004-10-16,2004,10,October,4,16
115,2004-11-03,2004,11,November,4,3
116,2005-01-06,2005,1,January,1,6
117,2005-05-17,2005,5,May,2,17
118,2003-04-16,2003,4,April,2,16
119,2003-06-03,2003,6,June,2,3
120,2003-08-08,2003,8,August,3,8
121,2003-09-28,2003,9,September,3,28
122,2003-10-22,2003,10,October,4,22
123,2004-01-02,2004,1,January,1,2
124,2004-02-12,2004,2,February,1,12
125,2004-03-19,2004,3,March,1,19
126,2004-05-05,2004,5,May,2,5
127,2004-07-20,2004,7,July,3,20
128,2004-09-09,2004,9,September,3,9
129,2004-11-20,2004,11,November,4,20
130,2005-01-23,2005,1,January,1,23
131,2005-05-05,2005,5,May,2,5
132,2003-03-26,2003,3,March,1,26
133,2004-02-02,2004,2,February,1,2
134,2004-02-21,2004,2,February,1,21
135,2003-01-31,2003,1,January,1,31
136,2004-03-15,2004,3,March,1,15
137,2005-01-26,2005,1,January,1,26
138,2003-10-11,2003,10,October,4,11
139,2004-01-16,2004,1,January,1,16
140,2005-02-08,2005,2,February,1,8
141,2004-12-01,2004,12,December,4,1
142,2005-03-23,2005,3,March,1,23
143,2005-02-09,2005,2,February,1,9
144,2003-04-04,2003,4,April,2,4
145,2003-08-01,2003,8,August,3,1
146,2003-09-21,2003,9,September,3,21
147,2004-02-10,2004,2,February,1,10
148,2005-05-03,2005,5,May,2,3
149,2004-04-12,2004,4,April,2,12
150,2004-08-04,2004,8,August,3,4
151,2005-04-14,2005,4,April,2,14
152,2003-03-10,2003,3,March,1,10
153,2003-07-04,2003,7,July,3,4
154,2003-09-11,2003,9,September,3,11
155,2003-10-17,2003,10,October,4,17
156,2003-11-05,2003,11,November,4,5
157,2004-04-13,2004,4,April,2,13
158,2004-08-06,2004,8,August,3,6
159,2003-10-05,2003,10,October,4,5
160,2004-11-17,2004,11,November,4,17
161,2004-12-09,2004,12,December,4,9
162,2005-01-07,2005,1,January,1,7
163,2005-03-04,2005,3,March,1,4
164,2005-04-15,2005,4,April,2,15
165,2003-01-10,2003,1,January,1,10
166,2003-03-25,2003,3,March,1,25
167,2003-05-21,2003,5,May,2,21
168,2003-07-16,2003,7,July,3,16
169,2003-09-12,2003,9,September,3,12
170,2003-10-18,2003,10,October,4,18
171,2003-11-21,2003,11,November,4,21
172,2003-12-03,2003,12,December,4,3
173,2004-03-02,2004,3,March,1,2
174,2004-04-29,2004,4,April,2,29
175,2004-06-08,2004,6,June,2,8
176,2004-09-03,2004,9,September,3,3
177,2005-02-16,2005,2,February,1,16
178,2005-05-30,2005,5,May,2,30
179,2003-03-18,2003,3,March,1,18
180,2003-05-20,2003,5,May,2,20
181,2003-07-10,2003,7,July,3,10
182,2004-02-26,2004,2,February,1,26
183,2004-09-01,2004,9,September,3,1
184,2005-01-12,2005,1,January,1,12
185,2005-02-10,2005,2,February,1,10
186,2005-04-22,2005,4,April,2,22
187,2003-02-17,2003,2,February,1,17
188,2003-06-16,2003,6,June,2,16
189,2003-11-27,2003,11,November,4,27
190,2004-05-11,2004,5,May,2,11
191,2004-06-24,2004,6,June,2,24
192,2004-08-21,2004,8,August,3,21
193,2004-09-15,2004,9,September,3,15
194,2004-11-10,2004,11,November,4,10
195,2004-11-22,2004,11,November,4,22
196,2004-12-03,2004,12,December,4,3
197,2005-03-01,2005,3,March,1,1
198,2005-03-30,2005,3,March,1,30
199,2005-05-10,2005,5,May,2,10
200,2003-01-06,2003,1,January,1,6
201,2004-01-26,2004,1,January,1,26
202,2004-11-25,2004,11,November,4,25
203,2005-05-29,2005,5,May,2,29
204,2005-01-10,2005,1,January,1,10
205,2004-10-06,2004,10,October,4,6
206,2005-02-22,2005,2,February,1,22
207,2003-01-09,2003,1,January,1,9
208,2004-04-26,2004,4,April,2,26
209,2005-04-23,2005,4,April,2,23
210,2003-06-27,2003,6,June,2,27
211,2004-04-02,2004,4,April,2,2
212,2004-09-16,2004,9,September,3,16
213,2004-12-04,2004,12,December,4,4
214,2005-04-03,2005,4,April,2,3
215,2004-06-04,2004,6,June,2,4
216,2004-06-14,2004,6,June,2,14
217,2004-07-16,2004,7,July,3,16
218,2005-03-10,2005,3,March,1,10
219,2003-06-06,2003,6,June,2,6
220,2003-11-07,2003,11,November,4,7
221,2004-02-18,2004,2,February,1,18
222,2004-03-20,2004,3,March,1,20
223,2005-03-15,2005,3,March,1,15
224,2004-11-09,2004,11,November,4,9
225,2004-05-26,2004,5,May,2,26
226,2004-07-02,2004,7,July,3,2
227,2004-09-07,2004,9,September,3,7
228,2004-11-16,2004,11,November,4,16
229,2004-12-07,2004,12,December,4,7
230,2003-09-03,2003,9,September,3,3
231,2004-06-30,2004,6,June,2,30
232,2004-08-28,2004,8,August,3,28
233,2004-05-08,2004,5,May,2,8
234,2004-11-12,2004,11,November,4,12
235,2005-05-09,2005,5,May,2,9
236,2003-09-25,2003,9,September,3,25
237,2004-01-22,2004,1,January,1,22
238,2004-10-29,2004,10,October,4,29
239,2004-07-07,2004,7,July,3,7
240,2004-08-09,2004,8,August,3,9
241,2003-11-19,2003,11,November,4,19
242,2005-01-19,2005,1,January,1,19
243,2003-10-02,2003,10,October,4,2
244,2004-03-29,2004,3,March,1,29
245,2005-02-28,2005,2,February,1,28
246,2004-04-20,2004,4,April,2,20
247,2005-03-02,2005,3,March,1,2
248,2003-04-11,2003,4,April,2,11
249,2003-08-13,2003,8,August,3,13
250,2003-10-08,2003,10,October,4,8
251,2005-03-28,2005,3,March,1,28
252,2003-04-21,2003,4,April,2,21
